Total Time,Computation Time,Derived Communication Time,Measured Communication Time,Number of Nodes,Processes per Node,Working Set Size,Working Set Size (Bytes),Message Size,Message Size (Bytes),Total Time STD,Computation Time STD,Measured Communication Time STD,Derived Communication Time STD,Total Processes,Message Size Mul.,Number of Messages,Computational Load Type,Communication to Total Time Ratio
0.1004725078125,0.0366068203125,0.06386568749999999,0.06386209375,64,2,8MiB,8388608.0,32.0KiB,4096.0,0.021410647292511124,0.0007191075244877518,0.02178553741499073,0.02178548125714621,128.0,32KiB,2.0,MemoryBound,0.635617594707383
0.0946536640625,0.0366010625,0.0580526015625,0.058049390625,64,2,8MiB,8388608.0,256.0KiB,32768.0,0.019780165341620214,0.0006410660890023354,0.020118778955491114,0.020118688800520403,128.0,256KiB,2.0,MemoryBound,0.6132820234689476
0.15738831250000002,0.03692459375,0.12046371875,0.12046029687500001,64,2,8MiB,8388608.0,2.0MiB,262144.0,0.022520399573827364,0.0007511808041915992,0.022660887062830645,0.022660900691960556,128.0,2MiB,2.0,MemoryBound,0.7653700262845121
0.0808454765625,0.0364000234375,0.044445453125000006,0.0444421015625,64,2,8MiB,8388608.0,32.0KiB,4096.0,0.01915199263048628,0.0006942009622675438,0.019499877886172072,0.019500105768887582,128.0,32KiB,4.0,MemoryBound,0.5497166131260629
0.091791421875,0.03662078125,0.055170640625,0.05516734375,64,2,8MiB,8388608.0,256.0KiB,32768.0,0.021893644423314304,0.0008729429564830898,0.022307111657299133,0.02230718176245824,128.0,256KiB,4.0,MemoryBound,0.6010076173035641
0.08297377343750001,0.036559328125,0.0464144453125,0.046411109375,64,2,8MiB,8388608.0,32.0KiB,4096.0,0.021946327190306397,0.0008893395206325784,0.022435221592618872,0.022435067281702307,128.0,32KiB,8.0,MemoryBound,0.5593467363510853
0.10785043750000001,0.036731007812499994,0.0711194296875,0.07111621093750001,64,2,8MiB,8388608.0,256.0KiB,32768.0,0.022278328731271422,0.000762781520736092,0.022670004588818852,0.022670070217512144,128.0,256KiB,8.0,MemoryBound,0.6593965920397866
0.12083037109375,0.048188046875,0.07264232421875,0.07263759765625001,64,4,8MiB,8388608.0,32.0KiB,4096.0,0.023579219762005395,0.0007264779640001026,0.023666823504707245,0.023666779597650976,256.0,32KiB,2.0,MemoryBound,0.6011534765534393
0.1242944765625,0.04931710546875,0.07497737109375,0.07497269140625,64,4,8MiB,8388608.0,256.0KiB,32768.0,0.02295059160320166,0.0007970772443167556,0.023049503155794675,0.023049541698072776,256.0,256KiB,2.0,MemoryBound,0.6031860262797025
0.23326182421875002,0.049189503906249994,0.1840723203125,0.18406750390625,64,4,8MiB,8388608.0,2.0MiB,262144.0,0.023627238523005755,0.0012344075090594034,0.023593271675614633,0.023593295822427765,256.0,2MiB,2.0,MemoryBound,0.7891025654229378
0.0966665703125,0.04876571875,0.0479008515625,0.04789594921875,64,4,8MiB,8388608.0,32.0KiB,4096.0,0.020204340040486813,0.0007332600785351932,0.02035104095889698,0.020351010226802104,256.0,32KiB,4.0,MemoryBound,0.49547583061976647
0.11785599218750001,0.0484986875,0.0693573046875,0.06935258203125,64,4,8MiB,8388608.0,256.0KiB,32768.0,0.023452887730477382,0.0011455734457167075,0.023575025249379815,0.02357516494691719,256.0,256KiB,4.0,MemoryBound,0.5884518957756112
0.09975498828125001,0.04944384765625,0.050311140625,0.05030619921875,64,4,8MiB,8388608.0,32.0KiB,4096.0,0.024225625098920695,0.0007525538266115135,0.02437226590506165,0.024372377515409983,256.0,32KiB,8.0,MemoryBound,0.5042975803567467
0.15058131640625,0.04836726171875,0.1022140546875,0.1022094140625,64,4,8MiB,8388608.0,256.0KiB,32768.0,0.023211795772113224,0.001307053427359435,0.023164563239706566,0.023164659849821814,256.0,256KiB,8.0,MemoryBound,0.6787655766453222
0.15308897265625,0.071308421875,0.08178055078124999,0.081774533203125,64,8,8MiB,8388608.0,32.0KiB,4096.0,0.026778036077341603,0.0014829188007702023,0.026986794092834627,0.02698674250893418,512.0,32KiB,2.0,MemoryBound,0.5341634461597942
0.16591431640625,0.06964069726562501,0.096273619140625,0.09626762695312499,64,8,8MiB,8388608.0,256.0KiB,32768.0,0.02664859310108274,0.0013838428915835326,0.02661253534541996,0.02661245078306615,512.0,256KiB,2.0,MemoryBound,0.5802249560996809
0.13533348242187498,0.07242199218749999,0.062911490234375,0.06290540820312499,64,8,8MiB,8388608.0,32.0KiB,4096.0,0.02493171398273449,0.0016741622263374643,0.025227983666676664,0.025228132274244554,512.0,32KiB,4.0,MemoryBound,0.4648177751536016
0.17035222851562498,0.064966083984375,0.10538614453125,0.10538061132812501,64,8,8MiB,8388608.0,256.0KiB,32768.0,0.027696917791074062,0.002405010179531419,0.027663687549691944,0.0276638704162812,512.0,256KiB,4.0,MemoryBound,0.618604242787815
0.1399383046875,0.07135340625,0.0685848984375,0.06857897265624999,64,8,8MiB,8388608.0,32.0KiB,4096.0,0.026858075109341708,0.001541231429518597,0.027105228733413384,0.027104979476316897,512.0,32KiB,8.0,MemoryBound,0.49006576726362056
0.249588474609375,0.06443434375,0.185154130859375,0.18514867773437502,64,8,8MiB,8388608.0,256.0KiB,32768.0,0.029716621998065622,0.004399948035803768,0.029695769440966954,0.029695766666818713,512.0,256KiB,8.0,MemoryBound,0.7418158151098396
0.24368999902343752,0.09733693945312501,0.1463530595703125,0.146345380859375,64,16,8MiB,8388608.0,32.0KiB,4096.0,0.03483649463600512,0.009578634439971876,0.03705646229778041,0.037056538256296914,1024.0,32KiB,2.0,MemoryBound,0.60053913351323
