Rank,Total Time,Computation Time,Derived Communication Time,Measured Communication Time,Message Size
64,11.682500,5.742051,5.940449,5.940442,579200
16,11.684190,5.723394,5.960796,5.960788,579200
48,11.684418,5.746086,5.938332,5.938325,579200
52,11.686604,5.818926,5.867678,5.867671,579200
44,11.685128,5.751604,5.933524,5.933511,579200
68,11.685165,5.787268,5.897897,5.897889,579200
60,11.685586,5.770255,5.915331,5.915327,579200
12,11.683776,5.804826,5.878950,5.878946,579200
40,11.684975,5.644152,6.040823,6.040811,579200
24,11.684941,5.764451,5.920490,5.920488,579200
4,11.685656,5.807231,5.878425,5.878417,579200
56,11.684696,5.748555,5.936141,5.936132,579200
28,11.684300,5.785405,5.898895,5.898884,579200
36,11.686252,5.812741,5.873511,5.873508,579200
20,11.684734,5.701576,5.983158,5.983152,579200
72,11.684959,5.770268,5.914691,5.914687,579200
8,11.683742,5.754968,5.928774,5.928769,579200
32,11.685873,5.827310,5.858563,5.858561,579200
76,11.686537,5.798869,5.887668,5.887661,579200
18,11.678436,5.736957,5.941479,5.941468,579200
78,11.686088,5.785446,5.900642,5.900634,579200
54,11.684932,5.787605,5.897327,5.897321,579200
62,11.685957,5.782117,5.903840,5.903834,579200
14,11.685790,5.792437,5.893353,5.893347,579200
66,11.672752,5.717147,5.955605,5.955603,579200
34,11.678328,5.753395,5.924933,5.924929,579200
10,11.654847,5.577660,6.077187,6.077176,579200
6,11.685541,5.788228,5.897313,5.897305,579200
46,11.685905,5.798325,5.887580,5.887576,579200
22,11.684208,5.762088,5.922120,5.922111,579200
42,11.678802,5.750519,5.928283,5.928278,579200
38,11.684167,5.788627,5.895540,5.895536,579200
70,11.681516,5.743400,5.938116,5.938114,579200
74,11.682829,5.837783,5.845046,5.845044,579200
58,11.679193,5.753717,5.925476,5.925467,579200
26,11.678493,5.748760,5.929733,5.929725,579200
2,11.679116,5.753746,5.925370,5.925361,579200
50,11.666638,5.614651,6.051987,6.051983,579200
30,11.680929,5.736422,5.944507,5.944499,579200
33,11.663698,5.755415,5.908283,5.908275,579200
71,11.667412,5.817553,5.849859,5.849857,579200
79,11.664941,5.757186,5.907755,5.907746,579200
19,11.663747,5.711495,5.952252,5.952241,579200
7,11.667520,5.812895,5.854625,5.854620,579200
15,11.666941,5.783542,5.883399,5.883389,579200
67,11.665829,5.782160,5.883669,5.883664,579200
75,11.662053,5.785511,5.876542,5.876534,579200
39,11.667069,5.787727,5.879342,5.879332,579200
47,11.667614,5.813923,5.853691,5.853687,579200
63,11.667233,5.799865,5.867368,5.867359,579200
31,11.667518,5.794795,5.872723,5.872709,579200
27,11.665473,5.752926,5.912547,5.912541,579200
35,11.665197,5.798097,5.867100,5.867097,579200
0,11.683514,5.692720,5.990794,5.990787,579200
37,11.667270,5.787462,5.879808,5.879802,579200
29,11.666379,5.776871,5.889508,5.889505,579200
49,11.665450,5.716086,5.949364,5.949359,579200
61,11.667475,5.808067,5.859408,5.859407,579200
25,11.663656,5.759977,5.903679,5.903674,579200
17,11.663939,5.770726,5.893213,5.893208,579200
9,11.663845,5.723563,5.940282,5.940272,579200
69,11.665329,5.764923,5.900406,5.900398,579200
57,11.665016,5.833401,5.831615,5.831607,579200
21,11.665877,5.704211,5.961666,5.961659,579200
5,11.666596,5.776202,5.890394,5.890390,579200
41,11.662160,5.738693,5.923467,5.923459,579200
73,11.664521,5.780244,5.884277,5.884271,579200
77,11.667101,5.786204,5.880897,5.880891,579200
45,11.666810,5.793202,5.873608,5.873604,579200
65,11.662961,5.734379,5.928582,5.928568,579200
1,11.663674,5.799228,5.864446,5.864441,579200
23,11.667075,5.816763,5.850312,5.850311,579200
55,11.666625,5.795111,5.871514,5.871504,579200
59,11.665417,5.754797,5.910620,5.910607,579200
51,11.665471,5.801164,5.864307,5.864298,579200
3,11.665325,5.743497,5.921828,5.921819,579200
11,11.664917,5.743682,5.921235,5.921221,579200
43,11.668836,5.867270,5.801566,5.801560,579200
53,11.667580,5.788126,5.879454,5.879449,579200
13,11.666801,5.776742,5.890059,5.890044,579200
