Rank,Total Time,Computation Time,Derived Communication Time,Measured Communication Time,Message Size
1152,6.361542,5.862165,0.499377,0.334498,28960
384,6.360309,5.794637,0.565672,0.455286,28960
768,6.362867,5.768488,0.594379,0.444676,28960
896,6.381215,6.091734,0.289481,0.274552,28960
128,6.361663,5.783552,0.578111,0.416038,28960
704,6.307264,5.826274,0.480990,0.416648,28960
256,6.357868,5.729461,0.628407,0.475770,28960
448,6.309975,5.838077,0.471898,0.465169,28960
320,6.309435,5.843372,0.466063,0.364986,28960
1088,6.307068,5.782398,0.524670,0.460153,28960
0,6.357260,5.696181,0.661079,0.453300,28960
1024,6.361710,5.777505,0.584205,0.425803,28960
1216,6.309540,5.832573,0.476967,0.420156,28960
640,6.362960,5.790420,0.572540,0.405718,28960
512,6.360780,5.750468,0.610312,0.461430,28960
960,6.307795,5.850864,0.456931,0.365508,28960
832,6.309521,5.844027,0.465494,0.377722,28960
192,6.311047,5.855853,0.455194,0.394958,28960
576,6.306486,5.786452,0.520034,0.448205,28960
617,6.302196,5.786873,0.515323,0.455152,28960
913,6.301720,5.797435,0.504285,0.407376,28960
1114,6.340318,5.790853,0.549465,0.442942,28960
108,6.276801,5.769533,0.507268,0.471064,28960
457,6.304955,5.819708,0.485247,0.406895,28960
777,6.319346,5.793178,0.526168,0.450182,28960
1033,6.321591,5.793033,0.528558,0.470535,28960
1097,6.305713,5.844219,0.461494,0.372750,28960
92,6.248510,5.851928,0.396582,0.355833,28960
732,6.244511,5.812292,0.432219,0.370920,28960
860,6.248524,5.835068,0.413456,0.370622,28960
1116,6.248023,5.828436,0.419587,0.340754,28960
348,6.248400,5.846685,0.401715,0.343448,28960
284,6.216930,5.840829,0.376101,0.352879,28960
604,6.248732,5.846472,0.402260,0.388011,28960
924,6.219678,5.827671,0.392007,0.323522,28960
156,6.219905,5.828609,0.391296,0.338463,28960
668,6.220236,5.839544,0.380692,0.347970,28960
988,6.245797,5.822308,0.423489,0.366669,28960
796,6.217151,5.826660,0.390491,0.324861,28960
1244,6.247831,5.833058,0.414773,0.348173,28960
28,6.217087,5.869304,0.347783,0.291470,28960
1052,6.222997,5.907942,0.315055,0.272128,28960
540,6.216151,5.820355,0.395796,0.350754,28960
412,6.220245,5.846929,0.373316,0.324412,28960
1253,6.299449,5.835329,0.464120,0.418416,28960
933,6.312991,5.813409,0.499582,0.431850,28960
229,6.299244,5.815864,0.483380,0.461917,28960
101,6.299077,5.824583,0.474494,0.412416,28960
1125,6.299379,5.824904,0.474475,0.400831,28960
805,6.312247,5.786871,0.525376,0.474308,28960
485,6.298813,5.804559,0.494254,0.460657,28960
421,6.311281,5.811427,0.499854,0.441826,28960
741,6.298780,5.819133,0.479647,0.410535,28960
549,6.312826,5.821496,0.491330,0.407192,28960
357,6.298830,5.821984,0.476846,0.427896,28960
997,6.299482,5.825733,0.473749,0.435286,28960
293,6.312471,5.799310,0.513161,0.448253,28960
37,6.312065,5.771117,0.540948,0.472568,28960
1189,6.315538,5.897843,0.417695,0.369735,28960
613,6.299166,5.812035,0.487131,0.444230,28960
165,6.311953,5.799926,0.512027,0.443291,28960
677,6.312561,5.803669,0.508892,0.459809,28960
1061,6.312515,5.801289,0.511226,0.489447,28960
1042,6.303223,5.838175,0.465048,0.430573,28960
786,6.303995,5.832209,0.471786,0.365731,28960
146,6.304537,5.854157,0.450380,0.344621,28960
914,6.303613,5.813123,0.490490,0.380121,28960
82,6.328737,5.825364,0.503373,0.430790,28960
338,6.329101,5.805504,0.523597,0.454056,28960
18,6.304186,5.820496,0.483690,0.365926,28960
1234,6.328851,5.830546,0.498305,0.415007,28960
978,6.329220,5.833598,0.495622,0.430219,28960
