Rank,Total Time,Computation Time,Derived Communication Time,Measured Communication Time,Message Size
4,2.168713,2.074159,0.094554,0.079741,57920
0,2.169852,2.110158,0.059694,0.057157,57920
12,2.169465,2.097363,0.072102,0.071982,57920
8,2.169596,2.091205,0.078391,0.075009,57920
10,2.168974,2.076243,0.092731,0.092127,57920
6,2.167917,2.073969,0.093948,0.087819,57920
11,2.169539,2.097195,0.072344,0.066882,57920
7,2.168644,2.084782,0.083862,0.071367,57920
5,2.168302,2.079068,0.089234,0.078087,57920
9,2.169736,2.101817,0.067919,0.063735,57920
1,2.169370,2.076655,0.092715,0.088086,57920
13,2.168012,2.067418,0.100594,0.098076,57920
15,2.168640,2.085341,0.083299,0.082125,57920
3,2.169361,2.088006,0.081355,0.080436,57920
2,2.168864,2.084852,0.084012,0.075106,57920
14,2.167854,2.078518,0.089336,0.087530,57920
