Rank,Total Time,Computation Time,Derived Communication Time,Measured Communication Time,Message Size
28,3.943367,2.827968,1.115399,1.092254,409600
56,3.939977,2.775881,1.164096,1.143577,409600
68,3.943085,2.822504,1.120581,1.100329,409600
72,3.939956,2.779222,1.160734,1.144869,409600
64,3.940408,2.794838,1.145570,1.119933,409600
24,3.940422,2.781826,1.158596,1.139945,409600
20,3.942729,2.813880,1.128849,1.111938,409600
52,3.943065,2.824672,1.118393,1.098404,409600
76,3.942802,2.819755,1.123047,1.105075,409600
8,3.940716,2.794495,1.146221,1.125122,409600
48,3.940680,2.789373,1.151307,1.126706,409600
12,3.941628,2.786015,1.155613,1.136541,409600
60,3.942429,2.798446,1.143983,1.127612,409600
0,3.939737,2.764892,1.174845,1.138109,409600
36,3.942746,2.820003,1.122743,1.089798,409600
16,3.939777,2.783331,1.156446,1.141807,409600
40,3.941372,2.783581,1.157791,1.115099,409600
4,3.942385,2.799490,1.142895,1.116846,409600
32,3.941973,2.810342,1.131631,1.113763,409600
38,3.941891,2.800358,1.141533,1.118112,409600
6,3.943397,2.832652,1.110745,1.092919,409600
14,3.942956,2.817701,1.125255,1.106691,409600
50,3.941392,2.788475,1.152917,1.109704,409600
46,3.942867,2.805350,1.137517,1.106875,409600
54,3.943138,2.822564,1.120574,1.102890,409600
22,3.943233,2.821220,1.122013,1.102137,409600
74,3.940616,2.811381,1.129235,1.106121,409600
34,3.941378,2.800691,1.140687,1.107355,409600
58,3.941580,2.809647,1.131933,1.106801,409600
26,3.941024,2.808388,1.132636,1.107160,409600
10,3.943807,2.798615,1.145192,1.113060,409600
42,3.941250,2.813854,1.127396,1.099442,409600
2,3.942584,2.840195,1.102389,1.082336,409600
18,3.941849,2.821676,1.120173,1.096549,409600
13,3.935009,2.816471,1.118538,1.110998,409600
71,3.935624,2.826025,1.109599,1.100769,409600
19,3.935346,2.787919,1.147427,1.136209,409600
75,3.935304,2.794118,1.141186,1.132000,409600
44,3.942671,2.811343,1.131328,1.112023,409600
37,3.935675,2.816752,1.118923,1.109933,409600
9,3.934903,2.788241,1.146662,1.120462,409600
62,3.943357,2.827300,1.116057,1.098025,409600
30,3.943379,2.802012,1.141367,1.130889,409600
78,3.942701,2.821835,1.120866,1.100081,409600
66,3.942215,2.820538,1.121677,1.089268,409600
70,3.942752,2.820448,1.122304,1.105189,409600
17,3.935305,2.781868,1.153437,1.132492,409600
45,3.935293,2.802482,1.132811,1.121789,409600
33,3.935251,2.791072,1.144179,1.130746,409600
57,3.935281,2.785018,1.150263,1.129145,409600
25,3.936694,2.813897,1.122797,1.106659,409600
77,3.935473,2.817587,1.117886,1.108226,409600
29,3.935785,2.822472,1.113313,1.104677,409600
41,3.935419,2.785146,1.150273,1.133665,409600
69,3.935230,2.815230,1.120000,1.111032,409600
5,3.935942,2.822775,1.113167,1.110650,409600
65,3.935580,2.792676,1.142904,1.128337,409600
21,3.935642,2.816263,1.119379,1.100100,409600
73,3.934738,2.807899,1.126839,1.108734,409600
49,3.935188,2.797013,1.138175,1.121176,409600
1,3.934792,2.786631,1.148161,1.141852,409600
31,3.935613,2.825519,1.110094,1.088545,409600
47,3.935494,2.821592,1.113902,1.102903,409600
43,3.936082,2.813831,1.122251,1.108558,409600
51,3.935105,2.788494,1.146611,1.134921,409600
39,3.935334,2.817462,1.117872,1.107847,409600
63,3.935580,2.818871,1.116709,1.104408,409600
11,3.934892,2.807631,1.127261,1.112726,409600
27,3.935656,2.783865,1.151791,1.139381,409600
23,3.935489,2.826072,1.109417,1.102041,409600
7,3.935411,2.816057,1.119354,1.109876,409600
15,3.935978,2.834537,1.101441,1.098133,409600
55,3.935369,2.825583,1.109786,1.097887,409600
67,3.935504,2.776357,1.159147,1.151462,409600
3,3.935370,2.791691,1.143679,1.132647,409600
79,3.935018,2.810605,1.124413,1.115628,409600
59,3.935110,2.798409,1.136701,1.124569,409600
35,3.935398,2.795494,1.139904,1.126890,409600
53,3.936300,2.823160,1.113140,1.098725,409600
61,3.935618,2.819306,1.116312,1.111740,409600
