Rank,Total Time,Computation Time,Derived Communication Time,Measured Communication Time,Message Size
1088,0.478831,0.041721,0.437110,0.427440,2560
0,0.537569,0.041869,0.495700,0.388996,2560
832,0.478845,0.041993,0.436852,0.429058,2560
896,0.537582,0.042144,0.495438,0.387606,2560
1152,0.537598,0.042558,0.495040,0.391395,2560
320,0.478853,0.041620,0.437233,0.434567,2560
64,0.478850,0.041818,0.437032,0.430900,2560
768,0.537598,0.042617,0.494981,0.442205,2560
704,0.478852,0.041868,0.436984,0.426554,2560
192,0.478848,0.041800,0.437048,0.432851,2560
384,0.537594,0.042314,0.495280,0.389895,2560
1216,0.478836,0.041662,0.437174,0.432091,2560
1024,0.537596,0.042752,0.494844,0.392080,2560
640,0.537576,0.042309,0.495267,0.406375,2560
576,0.478831,0.041989,0.436842,0.426830,2560
448,0.478843,0.041894,0.436949,0.426788,2560
128,0.537592,0.042557,0.495035,0.385671,2560
960,0.478850,0.041726,0.437124,0.434650,2560
512,0.537582,0.042393,0.495189,0.429854,2560
791,0.513519,0.041318,0.472201,0.434438,2560
162,0.503558,0.042103,0.461455,0.452373,2560
546,0.503554,0.042248,0.461306,0.453307,2560
1250,0.470062,0.032211,0.437851,0.114967,2560
1122,0.470060,0.028048,0.442012,0.104063,2560
674,0.503549,0.041755,0.461794,0.456608,2560
98,0.470056,0.031203,0.438853,0.119622,2560
994,0.470070,0.032516,0.437554,0.109127,2560
34,0.503531,0.041816,0.461715,0.449990,2560
226,0.470056,0.032325,0.437731,0.117246,2560
610,0.470043,0.025677,0.444366,0.099287,2560
1058,0.503538,0.042059,0.461479,0.447163,2560
418,0.503544,0.041777,0.461767,0.445400,2560
290,0.503554,0.042020,0.461534,0.459464,2560
738,0.470057,0.032330,0.437727,0.117648,2560
354,0.470073,0.023921,0.446152,0.097541,2560
866,0.470047,0.026222,0.443825,0.102242,2560
930,0.503564,0.042007,0.461557,0.451812,2560
482,0.470051,0.032699,0.437352,0.113902,2560
1186,0.503560,0.042251,0.461309,0.450829,2560
802,0.503544,0.041876,0.461668,0.451039,2560
1104,0.532650,0.041742,0.490908,0.471732,2560
528,0.498022,0.042291,0.455731,0.445377,2560
144,0.498014,0.042067,0.455947,0.444746,2560
1232,0.532673,0.041729,0.490944,0.468025,2560
336,0.532639,0.041762,0.490877,0.462731,2560
720,0.532654,0.041446,0.491208,0.480836,2560
464,0.532654,0.041734,0.490920,0.464149,2560
592,0.532660,0.042263,0.490397,0.475903,2560
912,0.497983,0.041511,0.456472,0.444532,2560
400,0.498005,0.041938,0.456067,0.430787,2560
757,0.528039,0.041499,0.486540,0.470505,2560
1178,0.490964,0.042023,0.448941,0.373501,2560
