Rank,Total Time,Computation Time,Derived Communication Time,Measured Communication Time,Message Size
8,0.493919,0.243430,0.250489,0.235381,204800
4,0.493926,0.243555,0.250371,0.237269,204800
0,0.493873,0.244379,0.249494,0.234199,204800
12,0.493947,0.244881,0.249066,0.239324,204800
9,0.478203,0.245188,0.233015,0.229865,204800
15,0.478146,0.243924,0.234222,0.219593,204800
11,0.478109,0.243646,0.234463,0.213793,204800
6,0.493899,0.244100,0.249799,0.237346,204800
14,0.493842,0.242923,0.250919,0.239380,204800
10,0.493791,0.240813,0.252978,0.248684,204800
2,0.493830,0.243191,0.250639,0.202284,204800
13,0.478219,0.244054,0.234165,0.223771,204800
5,0.478270,0.244947,0.233323,0.220783,204800
3,0.478131,0.242675,0.235456,0.210434,204800
7,0.478264,0.245970,0.232294,0.217764,204800
1,0.478218,0.243717,0.234501,0.216073,204800
