Rank,Total Time,Computation Time,Derived Communication Time,Measured Communication Time,Message Size
96,0.335021,0.199194,0.135827,0.135817,2560
208,0.334810,0.199322,0.135488,0.135483,2560
144,0.334924,0.199396,0.135528,0.135523,2560
128,0.335009,0.199246,0.135763,0.135759,2560
16,0.335056,0.199247,0.135809,0.135807,2560
32,0.335089,0.199239,0.135850,0.135846,2560
112,0.334915,0.199296,0.135619,0.135617,2560
227,0.224178,0.199672,0.024506,0.024501,2560
147,0.224031,0.199709,0.024322,0.024318,2560
83,0.224099,0.199750,0.024349,0.024342,2560
67,0.224088,0.199966,0.024122,0.024117,2560
195,0.223957,0.199683,0.024274,0.024272,2560
143,0.225561,0.199345,0.026216,0.026213,2560
31,0.225563,0.199473,0.026090,0.026089,2560
175,0.225434,0.199303,0.026131,0.026128,2560
47,0.225589,0.199775,0.025814,0.025809,2560
15,0.225482,0.198910,0.026572,0.026568,2560
223,0.225341,0.199715,0.025626,0.025623,2560
63,0.225580,0.199318,0.026262,0.026258,2560
255,0.225384,0.198862,0.026522,0.026517,2560
239,0.225535,0.199307,0.026228,0.026221,2560
79,0.225603,0.200904,0.024699,0.024695,2560
95,0.225525,0.199484,0.026041,0.026036,2560
207,0.225376,0.199310,0.026066,0.026060,2560
191,0.225430,0.199283,0.026147,0.026144,2560
159,0.225551,0.199297,0.026254,0.026252,2560
111,0.225579,0.199440,0.026139,0.026135,2560
127,0.225552,0.199390,0.026162,0.026157,2560
70,0.272205,0.199821,0.072384,0.072381,2560
237,0.233140,0.201185,0.031955,0.031952,2560
253,0.232468,0.199622,0.032846,0.032839,2560
132,0.305177,0.199751,0.105426,0.105423,2560
36,0.305500,0.199724,0.105776,0.105774,2560
4,0.305221,0.199258,0.105963,0.105962,2560
196,0.305097,0.200234,0.104863,0.104861,2560
164,0.305227,0.201424,0.103803,0.103797,2560
20,0.305434,0.199782,0.105652,0.105649,2560
84,0.305198,0.199749,0.105449,0.105449,2560
148,0.305165,0.199761,0.105404,0.105404,2560
212,0.305093,0.200010,0.105083,0.105077,2560
244,0.305164,0.199303,0.105861,0.105858,2560
52,0.305431,0.199782,0.105649,0.105641,2560
180,0.305170,0.199716,0.105454,0.105448,2560
75,0.224087,0.199715,0.024372,0.024365,2560
12,0.305156,0.199273,0.105883,0.105877,2560
124,0.305224,0.199791,0.105433,0.105426,2560
252,0.305077,0.199244,0.105833,0.105829,2560
108,0.305260,0.200900,0.104360,0.104357,2560
188,0.305077,0.199711,0.105366,0.105360,2560
172,0.305122,0.199641,0.105481,0.105477,2560
28,0.305242,0.199744,0.105498,0.105496,2560
204,0.305036,0.199721,0.105315,0.105313,2560
140,0.305227,0.199823,0.105404,0.105400,2560
236,0.305080,0.199676,0.105404,0.105402,2560
44,0.305235,0.199743,0.105492,0.105487,2560
60,0.305203,0.199701,0.105502,0.105501,2560
131,0.224057,0.199816,0.024241,0.024237,2560
163,0.224104,0.199770,0.024334,0.024329,2560
35,0.224357,0.199662,0.024695,0.024691,2560
179,0.224044,0.200079,0.023965,0.023964,2560
115,0.224084,0.199829,0.024255,0.024253,2560
211,0.223947,0.199743,0.024204,0.024198,2560
243,0.224059,0.199283,0.024776,0.024773,2560
51,0.224167,0.199669,0.024498,0.024495,2560
99,0.224080,0.201357,0.022723,0.022716,2560
19,0.224171,0.200014,0.024157,0.024151,2560
3,0.224629,0.199229,0.025400,0.025397,2560
156,0.305200,0.199731,0.105469,0.105466,2560
76,0.305178,0.199686,0.105492,0.105492,2560
92,0.305226,0.200098,0.105128,0.105127,2560
220,0.305050,0.199677,0.105373,0.105368,2560
215,0.225516,0.199655,0.025861,0.025857,2560
103,0.225626,0.199706,0.025920,0.025919,2560
247,0.225653,0.199560,0.026093,0.026092,2560
135,0.225637,0.199847,0.025790,0.025786,2560
7,0.225790,0.199397,0.026393,0.026389,2560
235,0.223995,0.201949,0.022046,0.022041,2560
171,0.224080,0.199736,0.024344,0.024337,2560
139,0.224181,0.199949,0.024232,0.024230,2560
187,0.223992,0.199982,0.024010,0.024001,2560
123,0.224124,0.199738,0.024386,0.024384,2560
11,0.224102,0.199314,0.024788,0.024783,2560
91,0.224114,0.199858,0.024256,0.024250,2560
43,0.224171,0.199857,0.024314,0.024312,2560
219,0.223919,0.199751,0.024168,0.024165,2560
59,0.224135,0.199697,0.024438,0.024433,2560
251,0.223990,0.199390,0.024600,0.024595,2560
155,0.224118,0.199721,0.024397,0.024395,2560
203,0.224001,0.199864,0.024137,0.024136,2560
46,0.272046,0.199803,0.072243,0.072238,2560
106,0.272119,0.199598,0.072521,0.072518,2560
74,0.272103,0.199970,0.072133,0.072131,2560
170,0.272035,0.199666,0.072369,0.072368,2560
154,0.272127,0.199762,0.072365,0.072362,2560
58,0.272129,0.199741,0.072388,0.072385,2560
250,0.272027,0.199464,0.072563,0.072558,2560
186,0.272005,0.199689,0.072316,0.072307,2560
26,0.272110,0.199762,0.072348,0.072345,2560
122,0.272133,0.199879,0.072254,0.072251,2560
218,0.271934,0.199682,0.072252,0.072250,2560
234,0.271972,0.199697,0.072275,0.072268,2560
202,0.272009,0.199809,0.072200,0.072195,2560
205,0.233059,0.199667,0.033392,0.033390,2560
221,0.232479,0.199707,0.032772,0.032769,2560
189,0.232465,0.199784,0.032681,0.032678,2560
29,0.232629,0.199686,0.032943,0.032941,2560
13,0.233163,0.199401,0.033762,0.033758,2560
109,0.233260,0.199668,0.033592,0.033589,2560
45,0.233253,0.199741,0.033512,0.033510,2560
61,0.232613,0.199653,0.032960,0.032959,2560
93,0.232570,0.199745,0.032825,0.032820,2560
141,0.233261,0.199758,0.033503,0.033499,2560
77,0.233199,0.199772,0.033427,0.033423,2560
173,0.233130,0.199708,0.033422,0.033418,2560
125,0.232581,0.199661,0.032920,0.032918,2560
157,0.232601,0.199734,0.032867,0.032860,2560
55,0.225908,0.199705,0.026203,0.026197,2560
71,0.225832,0.199736,0.026096,0.026093,2560
183,0.225518,0.199608,0.025910,0.025906,2560
23,0.225906,0.199885,0.026021,0.026019,2560
119,0.225617,0.199780,0.025837,0.025832,2560
174,0.271934,0.199785,0.072149,0.072144,2560
167,0.225572,0.199782,0.025790,0.025786,2560
87,0.225667,0.199755,0.025912,0.025912,2560
38,0.272344,0.201356,0.070988,0.070985,2560
166,0.271959,0.199690,0.072269,0.072267,2560
22,0.272316,0.199878,0.072438,0.072433,2560
150,0.271951,0.199774,0.072177,0.072172,2560
54,0.272302,0.199830,0.072472,0.072468,2560
230,0.271959,0.199655,0.072304,0.072303,2560
118,0.272000,0.199733,0.072267,0.072260,2560
136,0.335124,0.199915,0.135209,0.135205,2560
86,0.272165,0.199720,0.072445,0.072442,2560
182,0.271915,0.199623,0.072292,0.072288,2560
249,0.231971,0.199453,0.032518,0.032514,2560
85,0.232338,0.199668,0.032670,0.032667,2560
98,0.272025,0.199768,0.072257,0.072254,2560
231,0.225567,0.199737,0.025830,0.025826,2560
151,0.225574,0.199713,0.025861,0.025857,2560
199,0.225578,0.199608,0.025970,0.025963,2560
39,0.226043,0.201990,0.024053,0.024051,2560
72,0.335192,0.199650,0.135542,0.135536,2560
107,0.224179,0.210302,0.013877,0.013872,2560
40,0.335411,0.199965,0.135446,0.135440,2560
104,0.335095,0.199700,0.135395,0.135390,2560
152,0.335097,0.199859,0.135238,0.135236,2560
184,0.335025,0.199726,0.135299,0.135293,2560
8,0.335171,0.199367,0.135804,0.135801,2560
200,0.335196,0.201791,0.133405,0.133404,2560
88,0.335080,0.199747,0.135333,0.135328,2560
56,0.335320,0.199895,0.135425,0.135424,2560
216,0.335011,0.199732,0.135279,0.135276,2560
24,0.335326,0.199718,0.135608,0.135605,2560
120,0.335087,0.199798,0.135289,0.135287,2560
232,0.335018,0.199873,0.135145,0.135138,2560
168,0.335020,0.199726,0.135294,0.135291,2560
248,0.335037,0.199296,0.135741,0.135739,2560
116,0.305188,0.199712,0.105476,0.105470,2560
100,0.305175,0.199884,0.105291,0.105287,2560
68,0.305250,0.199727,0.105523,0.105516,2560
228,0.305126,0.199795,0.105331,0.105324,2560
176,0.334789,0.199365,0.135424,0.135422,2560
64,0.335052,0.199219,0.135833,0.135831,2560
192,0.334866,0.199376,0.135490,0.135483,2560
42,0.272207,0.199786,0.072421,0.072415,2560
10,0.272070,0.199335,0.072735,0.072731,2560
138,0.272146,0.201384,0.070762,0.070759,2560
90,0.272031,0.199747,0.072284,0.072277,2560
206,0.271821,0.199776,0.072045,0.072041,2560
209,0.231255,0.199655,0.031600,0.031596,2560
81,0.231416,0.199659,0.031757,0.031753,2560
193,0.231903,0.199667,0.032236,0.032233,2560
145,0.231324,0.199819,0.031505,0.031501,2560
177,0.231299,0.199628,0.031671,0.031667,2560
97,0.231962,0.201003,0.030959,0.030956,2560
161,0.231975,0.199691,0.032284,0.032279,2560
65,0.232006,0.199763,0.032243,0.032242,2560
33,0.232104,0.199697,0.032407,0.032402,2560
225,0.232131,0.199720,0.032411,0.032409,2560
17,0.231502,0.199785,0.031717,0.031712,2560
113,0.231301,0.199634,0.031667,0.031662,2560
241,0.231354,0.199297,0.032057,0.032053,2560
1,0.232573,0.199219,0.033354,0.033349,2560
129,0.231897,0.199675,0.032222,0.032217,2560
49,0.231469,0.200023,0.031446,0.031441,2560
48,0.335055,0.199225,0.135830,0.135825,2560
80,0.334999,0.199227,0.135772,0.135770,2560
240,0.334916,0.198703,0.136213,0.136208,2560
160,0.334910,0.199235,0.135675,0.135671,2560
224,0.334898,0.201497,0.133401,0.133395,2560
0,0.335004,0.198779,0.136225,0.136215,2560
214,0.271893,0.199667,0.072226,0.072224,2560
102,0.271959,0.199677,0.072282,0.072278,2560
217,0.231917,0.199860,0.032057,0.032054,2560
185,0.231919,0.199633,0.032286,0.032282,2560
57,0.232115,0.199678,0.032437,0.032434,2560
134,0.272000,0.199689,0.072311,0.072306,2560
201,0.231956,0.199667,0.032289,0.032287,2560
105,0.232023,0.199937,0.032086,0.032085,2560
89,0.232004,0.199672,0.032332,0.032331,2560
9,0.231982,0.199360,0.032622,0.032619,2560
25,0.232133,0.199893,0.032240,0.032237,2560
73,0.232012,0.200988,0.031024,0.031019,2560
69,0.232543,0.199677,0.032866,0.032865,2560
146,0.271980,0.199652,0.072328,0.072324,2560
53,0.232602,0.199953,0.032649,0.032647,2560
246,0.272152,0.199360,0.072792,0.072792,2560
198,0.271962,0.199898,0.072064,0.072060,2560
6,0.272208,0.199168,0.073040,0.073037,2560
41,0.232258,0.199808,0.032450,0.032449,2560
242,0.272598,0.199283,0.073315,0.073311,2560
94,0.271922,0.199812,0.072110,0.072103,2560
101,0.232279,0.200293,0.031986,0.031978,2560
66,0.272052,0.199909,0.072143,0.072140,2560
197,0.232224,0.199677,0.032547,0.032541,2560
27,0.224135,0.199755,0.024380,0.024378,2560
14,0.271913,0.199211,0.072702,0.072697,2560
181,0.232246,0.199737,0.032509,0.032507,2560
213,0.232212,0.199770,0.032442,0.032439,2560
245,0.232308,0.199630,0.032678,0.032673,2560
121,0.232028,0.199688,0.032340,0.032335,2560
153,0.232022,0.199700,0.032322,0.032315,2560
254,0.271886,0.199386,0.072500,0.072498,2560
50,0.272115,0.199907,0.072208,0.072206,2560
114,0.271931,0.199798,0.072133,0.072130,2560
2,0.273070,0.202020,0.071050,0.071045,2560
34,0.272151,0.199642,0.072509,0.072502,2560
5,0.232518,0.199238,0.033280,0.033277,2560
37,0.232738,0.200784,0.031954,0.031953,2560
117,0.232313,0.199673,0.032640,0.032633,2560
21,0.232612,0.199610,0.033002,0.032997,2560
133,0.232290,0.199765,0.032525,0.032520,2560
165,0.232319,0.199635,0.032684,0.032680,2560
149,0.232267,0.199654,0.032613,0.032608,2560
229,0.232257,0.199667,0.032590,0.032588,2560
222,0.271889,0.199557,0.072332,0.072326,2560
137,0.232062,0.199811,0.032251,0.032247,2560
233,0.231900,0.199685,0.032215,0.032213,2560
169,0.231974,0.199698,0.032276,0.032271,2560
190,0.271840,0.199665,0.072175,0.072173,2560
178,0.271986,0.199639,0.072347,0.072343,2560
226,0.272143,0.199950,0.072193,0.072187,2560
162,0.272047,0.199722,0.072325,0.072322,2560
82,0.272015,0.199635,0.072380,0.072372,2560
210,0.272136,0.199756,0.072380,0.072377,2560
18,0.272595,0.199871,0.072724,0.072720,2560
130,0.272058,0.199727,0.072331,0.072329,2560
