#-----------------------------------------------------------------------------
# Benchmarking Exchange
# #processes = 2
# ( 1278 additional processes waiting in MPI_Barrier)
#-----------------------------------------------------------------------------
       Message Size, Repetitions, t_min[usec], t_max[usec], Communication Time, Mbytes/sec, Number of Processes
, 4096, 1000, 6.03, 6.04, 6.03, 2714.82, 16
, 8192, 1000, 9.73, 9.74, 9.74, 3363.58, 16
, 16384, 1000, 19.14, 19.17, 19.15, 3418.63, 16
, 32768, 1000, 27.32, 27.33, 27.32, 4796.58, 16
, 65536, 640, 42.59, 42.60, 42.60, 6153.01, 16
, 131072, 320, 74.87, 75.01, 74.94, 6989.98, 16
, 262144, 160, 137.28, 137.60, 137.46, 7620.22, 16
, 524288, 80, 256.66, 258.63, 257.99, 8108.67, 16
, 1048576, 40, 498.31, 503.54, 501.41, 8329.59, 16
, 2097152, 20, 965.64, 972.79, 969.26, 8623.25, 16
, 4194304, 10, 2149.89, 2166.63, 2159.81, 7743.47, 16

#-----------------------------------------------------------------------------
# Benchmarking Exchange
# #processes = 32
# ( 1248 additional processes waiting in MPI_Barrier)
#-----------------------------------------------------------------------------
       Message Size, Repetitions, t_min[usec], t_max[usec], Communication Time, Mbytes/sec, Number of Processes
, 0, 1000, 2.26, 2.27, 2.26, 0.00, 32
, 1, 1000, 2.46, 2.48, 2.47, 1.62, 32
, 2, 1000, 2.37, 2.38, 2.37, 3.37, 32
, 4, 1000, 2.45, 2.46, 2.45, 6.52, 32
, 8, 1000, 2.41, 2.42, 2.42, 13.23, 32
, 16, 1000, 2.47, 2.48, 2.48, 25.78, 32
, 32, 1000, 2.49, 2.50, 2.49, 51.28, 32
, 64, 1000, 2.66, 2.67, 2.66, 95.97, 32
, 128, 1000, 3.22, 3.24, 3.23, 158.05, 32
, 256, 1000, 3.28, 3.29, 3.29, 311.12, 32
, 512, 1000, 3.45, 3.46, 3.46, 591.55, 32
, 1024, 1000, 3.91, 3.92, 3.92, 1045.10, 32
, 2048, 1000, 4.94, 4.95, 4.94, 1655.05, 32
, 4096, 1000, 6.24, 6.26, 6.25, 2617.94, 32
, 8192, 1000, 8.91, 8.93, 8.92, 3670.56, 32
, 16384, 1000, 20.29, 20.31, 20.30, 3226.18, 32
, 32768, 1000, 27.42, 27.44, 27.43, 4777.25, 32
, 65536, 640, 42.58, 42.61, 42.59, 6152.47, 32
, 131072, 320, 76.13, 76.90, 76.40, 6817.93, 32
, 262144, 160, 138.59, 139.99, 139.27, 7490.52, 32
, 524288, 80, 256.71, 261.06, 258.64, 8033.13, 32
, 1048576, 40, 483.58, 494.37, 488.65, 8484.19, 32
, 2097152, 20, 956.32, 964.51, 961.23, 8697.25, 32
, 4194304, 10, 2115.00, 2133.22, 2124.08, 7864.75, 32

#-----------------------------------------------------------------------------
# Benchmarking Exchange
# #processes = 64
# ( 1216 additional processes waiting in MPI_Barrier)
#-----------------------------------------------------------------------------
       Message Size, Repetitions, t_min[usec], t_max[usec], Communication Time, Mbytes/sec, Number of Processes
, 0, 1000, 2.29, 2.38, 2.33, 0.00, 64
, 1, 1000, 3.15, 3.17, 3.16, 1.26, 64
, 2, 1000, 2.38, 2.39, 2.39, 3.34, 64
, 4, 1000, 2.38, 2.42, 2.41, 6.61, 64
, 8, 1000, 3.07, 3.14, 3.13, 10.21, 64
, 16, 1000, 2.46, 2.48, 2.47, 25.82, 64
, 32, 1000, 2.47, 2.50, 2.49, 51.29, 64
, 64, 1000, 2.62, 2.74, 2.66, 93.46, 64
, 128, 1000, 2.94, 2.96, 2.95, 173.12, 64
, 256, 1000, 3.18, 3.19, 3.18, 321.00, 64
, 512, 1000, 3.76, 3.79, 3.78, 540.07, 64
, 1024, 1000, 4.45, 4.48, 4.46, 914.99, 64
, 2048, 1000, 4.90, 4.91, 4.91, 1666.84, 64
, 4096, 1000, 6.09, 6.11, 6.10, 2681.82, 64
, 8192, 1000, 8.88, 8.89, 8.88, 3684.26, 64
, 16384, 1000, 19.09, 19.11, 19.10, 3428.59, 64
, 32768, 1000, 27.47, 27.50, 27.49, 4766.18, 64
, 65536, 640, 44.57, 44.67, 44.62, 5869.07, 64
, 131072, 320, 74.90, 75.18, 75.05, 6974.04, 64
, 262144, 160, 136.25, 137.78, 136.91, 7610.79, 64
, 524288, 80, 250.21, 256.07, 253.38, 8189.82, 64
, 1048576, 40, 479.05, 501.51, 488.68, 8363.43, 64
, 2097152, 20, 955.69, 1024.84, 980.38, 8185.31, 64
, 4194304, 10, 2129.46, 2170.62, 2144.51, 7729.23, 64

#-----------------------------------------------------------------------------
# Benchmarking Exchange
# #processes = 128
# ( 1152 additional processes waiting in MPI_Barrier)
#-----------------------------------------------------------------------------
       Message Size, Repetitions, t_min[usec], t_max[usec], Communication Time, Mbytes/sec, Number of Processes
, 0, 1000, 2.88, 2.92, 2.90, 0.00, 128
, 1, 1000, 2.59, 2.65, 2.63, 1.51, 128
, 2, 1000, 2.89, 2.95, 2.93, 2.71, 128
, 4, 1000, 2.58, 2.64, 2.61, 6.06, 128
, 8, 1000, 2.86, 2.93, 2.90, 10.94, 128
, 16, 1000, 2.95, 3.00, 2.98, 21.31, 128
, 32, 1000, 2.72, 2.77, 2.75, 46.25, 128
, 64, 1000, 4.81, 4.88, 4.86, 52.46, 128
, 128, 1000, 3.58, 3.65, 3.62, 140.23, 128
, 256, 1000, 4.53, 4.60, 4.57, 222.45, 128
, 512, 1000, 4.34, 4.44, 4.39, 461.67, 128
, 1024, 1000, 4.93, 5.01, 4.98, 816.77, 128
, 2048, 1000, 5.89, 5.98, 5.94, 1370.80, 128
, 4096, 1000, 8.09, 8.19, 8.15, 2001.23, 128
, 8192, 1000, 12.76, 12.91, 12.86, 2538.53, 128
, 16384, 1000, 25.84, 25.90, 25.87, 2530.23, 128
, 32768, 1000, 43.72, 43.81, 43.77, 2992.11, 128
, 65536, 640, 82.25, 82.69, 82.54, 3170.17, 128
, 131072, 320, 136.33, 137.70, 137.10, 3807.47, 128
, 262144, 160, 248.30, 253.01, 250.50, 4144.48, 128
, 524288, 80, 463.45, 469.72, 467.22, 4464.72, 128
, 1048576, 40, 939.28, 966.44, 957.40, 4339.94, 128
, 2097152, 20, 1852.21, 1962.14, 1900.20, 4275.24, 128
, 4194304, 10, 3969.93, 4156.64, 4055.78, 4036.24, 128

#-----------------------------------------------------------------------------
# Benchmarking Exchange
# #processes = 256
# ( 1024 additional processes waiting in MPI_Barrier)
#-----------------------------------------------------------------------------
       Message Size, Repetitions, t_min[usec], t_max[usec], Communication Time, Mbytes/sec, Number of Processes
, 0, 1000, 2.51, 2.58, 2.55, 0.00, 256
, 1, 1000, 2.66, 2.74, 2.69, 1.46, 256
, 2, 1000, 2.67, 2.76, 2.71, 2.90, 256
, 4, 1000, 2.66, 2.74, 2.69, 5.84, 256
, 8, 1000, 2.93, 2.98, 2.95, 10.75, 256
, 16, 1000, 2.73, 2.79, 2.76, 22.95, 256
, 32, 1000, 2.74, 2.81, 2.78, 45.56, 256
, 64, 1000, 3.46, 3.55, 3.50, 72.09, 256
, 128, 1000, 3.66, 3.73, 3.70, 137.17, 256
, 256, 1000, 4.12, 4.21, 4.17, 243.38, 256
, 512, 1000, 4.61, 4.70, 4.66, 435.95, 256
, 1024, 1000, 5.31, 5.41, 5.36, 757.76, 256
