Rank,Total Time,Computation Time,Derived Communication Time,Measured Communication Time,Message Size
80,0.348543,0.199187,0.149356,0.149351,2560
128,0.348470,0.200655,0.147815,0.147807,2560
96,0.348556,0.199237,0.149319,0.149310,2560
0,0.348416,0.198824,0.149592,0.149590,2560
224,0.348482,0.199165,0.149317,0.149316,2560
205,0.262345,0.200937,0.061408,0.061404,2560
125,0.262214,0.199689,0.062525,0.062519,2560
173,0.262379,0.199685,0.062694,0.062692,2560
77,0.262329,0.199695,0.062634,0.062631,2560
157,0.262271,0.199693,0.062578,0.062576,2560
93,0.262307,0.199681,0.062626,0.062621,2560
13,0.262250,0.199960,0.062290,0.062289,2560
45,0.262267,0.199821,0.062446,0.062441,2560
29,0.262227,0.199647,0.062580,0.062579,2560
227,0.266088,0.201374,0.064714,0.064709,2560
163,0.265948,0.199672,0.066276,0.066273,2560
131,0.265880,0.199665,0.066215,0.066214,2560
115,0.265835,0.199811,0.066024,0.066022,2560
51,0.266004,0.199781,0.066223,0.066221,2560
83,0.266021,0.199678,0.066343,0.066339,2560
67,0.266025,0.199808,0.066217,0.066213,2560
211,0.266063,0.200017,0.066046,0.066045,2560
99,0.265856,0.199760,0.066096,0.066092,2560
35,0.266031,0.199643,0.066388,0.066383,2560
179,0.265988,0.199789,0.066199,0.066194,2560
3,0.265990,0.199400,0.066590,0.066587,2560
195,0.266016,0.199676,0.066340,0.066338,2560
214,0.283776,0.199767,0.084009,0.084007,2560
230,0.283666,0.200265,0.083401,0.083399,2560
86,0.283573,0.199754,0.083819,0.083817,2560
198,0.283791,0.201036,0.082755,0.082749,2560
54,0.283785,0.199728,0.084057,0.084053,2560
126,0.283676,0.199884,0.083792,0.083790,2560
105,0.267766,0.199836,0.067930,0.067925,2560
41,0.267925,0.201295,0.066630,0.066624,2560
233,0.267847,0.199750,0.068097,0.068096,2560
249,0.267805,0.199451,0.068354,0.068352,2560
121,0.267729,0.199709,0.068020,0.068016,2560
89,0.267783,0.199735,0.068048,0.068047,2560
9,0.267815,0.199293,0.068522,0.068521,2560
185,0.267945,0.199660,0.068285,0.068280,2560
169,0.267988,0.199758,0.068230,0.068227,2560
25,0.267861,0.199669,0.068192,0.068180,2560
217,0.267842,0.199744,0.068098,0.068097,2560
190,0.283726,0.199570,0.084156,0.084155,2560
129,0.267511,0.199767,0.067744,0.067743,2560
209,0.267634,0.199785,0.067849,0.067846,2560
193,0.267698,0.199663,0.068035,0.068032,2560
81,0.267689,0.199688,0.068001,0.067994,2560
1,0.267552,0.200393,0.067159,0.067155,2560
97,0.267640,0.199813,0.067827,0.067826,2560
145,0.267470,0.199664,0.067806,0.067802,2560
225,0.267649,0.199680,0.067969,0.067964,2560
161,0.267587,0.199867,0.067720,0.067716,2560
49,0.267701,0.199896,0.067805,0.067796,2560
147,0.265910,0.199797,0.066113,0.066105,2560
19,0.265971,0.199690,0.066281,0.066279,2560
203,0.266318,0.201476,0.064842,0.064841,2560
94,0.283746,0.199583,0.084163,0.084159,2560
38,0.283782,0.199890,0.083892,0.083887,2560
150,0.283610,0.200159,0.083451,0.083449,2560
6,0.283695,0.199348,0.084347,0.084341,2560
22,0.283745,0.199756,0.083989,0.083982,2560
102,0.283420,0.199802,0.083618,0.083615,2560
166,0.283603,0.199663,0.083940,0.083931,2560
118,0.283404,0.199745,0.083659,0.083656,2560
246,0.283605,0.199791,0.083814,0.083812,2560
182,0.283752,0.199715,0.084037,0.084029,2560
134,0.283557,0.199796,0.083761,0.083757,2560
70,0.283721,0.199845,0.083876,0.083870,2560
101,0.261934,0.199894,0.062040,0.062036,2560
44,0.318047,0.199696,0.118351,0.118350,2560
254,0.283686,0.199340,0.084346,0.084341,2560
210,0.284180,0.199774,0.084406,0.084400,2560
201,0.267916,0.199932,0.067984,0.067980,2560
85,0.261958,0.199677,0.062281,0.062273,2560
188,0.318150,0.199674,0.118476,0.118473,2560
156,0.318157,0.200033,0.118124,0.118121,2560
92,0.318089,0.199816,0.118273,0.118265,2560
220,0.318086,0.199733,0.118353,0.118348,2560
172,0.318168,0.199617,0.118551,0.118548,2560
252,0.318064,0.199420,0.118644,0.118641,2560
12,0.318000,0.199418,0.118582,0.118580,2560
28,0.318034,0.199788,0.118246,0.118243,2560
236,0.318112,0.201499,0.116613,0.116609,2560
76,0.318058,0.199767,0.118291,0.118287,2560
140,0.318020,0.199696,0.118324,0.118319,2560
108,0.318072,0.199659,0.118413,0.118409,2560
60,0.318029,0.199800,0.118229,0.118222,2560
124,0.317984,0.199674,0.118310,0.118303,2560
204,0.318121,0.199702,0.118419,0.118415,2560
136,0.348479,0.199699,0.148780,0.148778,2560
241,0.267609,0.199188,0.068421,0.068413,2560
33,0.267656,0.199778,0.067878,0.067872,2560
65,0.267720,0.200301,0.067419,0.067415,2560
174,0.283710,0.199671,0.084039,0.084033,2560
117,0.261933,0.199761,0.062172,0.062167,2560
53,0.262272,0.199704,0.062568,0.062564,2560
245,0.262091,0.199310,0.062781,0.062777,2560
213,0.262207,0.199983,0.062224,0.062218,2560
5,0.262084,0.199349,0.062735,0.062731,2560
149,0.262149,0.199763,0.062386,0.062381,2560
37,0.262309,0.199730,0.062579,0.062572,2560
181,0.262178,0.199706,0.062472,0.062467,2560
197,0.262324,0.199843,0.062481,0.062477,2560
165,0.262196,0.201304,0.060892,0.060889,2560
133,0.261976,0.199697,0.062279,0.062275,2560
69,0.262137,0.199836,0.062301,0.062298,2560
229,0.262151,0.199711,0.062440,0.062431,2560
21,0.262263,0.199650,0.062613,0.062611,2560
141,0.262256,0.199695,0.062561,0.062557,2560
221,0.262288,0.199656,0.062632,0.062628,2560
61,0.262249,0.199812,0.062437,0.062432,2560
253,0.262255,0.199554,0.062701,0.062695,2560
189,0.262300,0.199742,0.062558,0.062553,2560
237,0.262306,0.199787,0.062519,0.062515,2560
109,0.262215,0.199676,0.062539,0.062538,2560
17,0.267595,0.199661,0.067934,0.067931,2560
177,0.267586,0.199730,0.067856,0.067852,2560
113,0.267615,0.199610,0.068005,0.068000,2560
73,0.267826,0.199715,0.068111,0.068108,2560
57,0.267887,0.199676,0.068211,0.068203,2560
202,0.284487,0.199831,0.084656,0.084653,2560
42,0.284423,0.199697,0.084726,0.084722,2560
122,0.284445,0.199971,0.084474,0.084472,2560
58,0.284381,0.199781,0.084600,0.084595,2560
250,0.284363,0.199328,0.085035,0.085031,2560
90,0.284331,0.199714,0.084617,0.084609,2560
218,0.284454,0.199722,0.084732,0.084730,2560
74,0.284356,0.199686,0.084670,0.084667,2560
186,0.284533,0.199730,0.084803,0.084800,2560
170,0.284575,0.201401,0.083174,0.083170,2560
138,0.284459,0.199639,0.084820,0.084818,2560
10,0.284322,0.199352,0.084970,0.084969,2560
26,0.284383,0.199668,0.084715,0.084711,2560
154,0.284519,0.199677,0.084842,0.084835,2560
234,0.284389,0.199706,0.084683,0.084677,2560
106,0.284290,0.199613,0.084677,0.084673,2560
103,0.264193,0.199686,0.064507,0.064504,2560
71,0.264418,0.199853,0.064565,0.064561,2560
119,0.264162,0.199636,0.064526,0.064517,2560
199,0.264462,0.199777,0.064685,0.064681,2560
215,0.264455,0.199943,0.064512,0.064508,2560
87,0.264349,0.199659,0.064690,0.064687,2560
167,0.264536,0.199745,0.064791,0.064788,2560
183,0.264420,0.199696,0.064724,0.064722,2560
55,0.264424,0.199713,0.064711,0.064709,2560
135,0.264200,0.199608,0.064592,0.064586,2560
231,0.264405,0.199644,0.064761,0.064757,2560
75,0.266170,0.199637,0.066533,0.066531,2560
18,0.284121,0.199723,0.084398,0.084391,2560
144,0.348350,0.199418,0.148932,0.148932,2560
112,0.348500,0.199367,0.149133,0.149126,2560
192,0.348576,0.199155,0.149421,0.149417,2560
16,0.348504,0.199219,0.149285,0.149277,2560
208,0.348561,0.199265,0.149296,0.149291,2560
48,0.348544,0.199161,0.149383,0.149378,2560
52,0.317887,0.199694,0.118193,0.118190,2560
212,0.317888,0.199843,0.118045,0.118041,2560
4,0.317822,0.199529,0.118293,0.118290,2560
116,0.317689,0.199697,0.117992,0.117990,2560
100,0.317690,0.199809,0.117881,0.117877,2560
148,0.317766,0.199725,0.118041,0.118037,2560
84,0.317754,0.199769,0.117985,0.117984,2560
228,0.317925,0.199689,0.118236,0.118231,2560
132,0.317728,0.199820,0.117908,0.117902,2560
39,0.264457,0.199748,0.064709,0.064707,2560
247,0.264342,0.199401,0.064941,0.064939,2560
7,0.264438,0.200906,0.063532,0.063524,2560
23,0.264409,0.199700,0.064709,0.064706,2560
151,0.264244,0.199724,0.064520,0.064518,2560
153,0.267924,0.199708,0.068216,0.068212,2560
137,0.267900,0.199756,0.068144,0.068137,2560
30,0.283659,0.200112,0.083547,0.083543,2560
78,0.283788,0.200793,0.082995,0.082991,2560
238,0.283717,0.200595,0.083122,0.083114,2560
14,0.283633,0.199301,0.084332,0.084328,2560
243,0.266053,0.199339,0.066714,0.066707,2560
88,0.348649,0.199720,0.148929,0.148922,2560
43,0.266195,0.199744,0.066451,0.066448,2560
200,0.348708,0.199661,0.149047,0.149043,2560
146,0.284102,0.199667,0.084435,0.084428,2560
127,0.264300,0.199341,0.064959,0.064955,2560
175,0.264323,0.199336,0.064987,0.064984,2560
159,0.264216,0.199370,0.064846,0.064843,2560
91,0.266249,0.200033,0.066216,0.066214,2560
79,0.264393,0.199319,0.065074,0.065069,2560
255,0.264232,0.198969,0.065263,0.065257,2560
143,0.264268,0.199353,0.064915,0.064911,2560
95,0.264332,0.199372,0.064960,0.064957,2560
31,0.264265,0.199327,0.064938,0.064934,2560
15,0.264230,0.198943,0.065287,0.065278,2560
111,0.264317,0.201020,0.063297,0.063293,2560
239,0.264323,0.199293,0.065030,0.065026,2560
207,0.264357,0.199307,0.065050,0.065047,2560
47,0.264307,0.199538,0.064769,0.064765,2560
223,0.264354,0.199333,0.065021,0.065015,2560
191,0.264350,0.199410,0.064940,0.064938,2560
63,0.264337,0.199589,0.064748,0.064742,2560
11,0.266155,0.199301,0.066854,0.066851,2560
160,0.348421,0.199115,0.149306,0.149303,2560
64,0.348573,0.199236,0.149337,0.149333,2560
142,0.283644,0.199878,0.083766,0.083764,2560
168,0.348799,0.199885,0.148914,0.148913,2560
